dataset,accuracy,precision,recall,f1,fraud_detection_rate,attack_success_rate,fraud_total,fraud_detected,fraud_missed
textfooler_original,0.5420246544639522,1.0,0.5420246544639522,0.7030038759689923,0.5420246544639522,0.4579753455360478,2677,1451,1226
textfooler_attack,0.5364213672020919,1.0,0.5364213672020919,0.6982737661074642,0.5364213672020919,0.4635786327979081,2677,1436,1241
fraudr1_round1_trust,0.998430141287284,0.9992779783393502,0.9978370583994232,0.9985569985569984,0.9978370583994232,0.0021629416005767,1387,1384,3
fraudr1_round2_trust_urgency,0.9988226059654632,0.9992784992784992,0.9985580389329488,0.998918139199423,0.9985580389329488,0.0014419610670511,1387,1385,2
fraudr1_round3_trust_urgency_emotion,0.999607535321821,0.9992795389048992,1.0,0.9996396396396396,1.0,0.0,1387,1387,0
teacher_test,0.998430141287284,0.9992779783393502,0.9978370583994232,0.9985569985569984,0.9978370583994232,0.0021629416005767,1387,1384,3
